ARKN7     MesoWest    198.00    195.00    540.00     35.02    -80.84    -5
WHCW2     MesoWest    799.00    195.00    540.00     38.44    -79.42    -5
MMRMS     UrbaNet       2.00    188.00    540.00     25.60    -80.39    -5
AN269     AIRNow        9.00    188.00    540.00     39.41    -76.30    -5
RSTNW     AWS         112.00    188.00    540.00     38.95    -77.33    -5
CKNN6     HADS        148.00    195.00    540.00     41.18    -74.03    -5
C3837     APRSWXNE     47.00    188.00    540.00     30.25    -82.12    -5
CMPEM     AWS         315.00    188.00    540.00     41.07    -80.59    -5
BWTO1     MesoWest    366.00    195.00    540.00     40.39    -81.19    -5
BTHMD     AWS          88.00    188.00    540.00     39.01    -77.15    -5
C8326     APRSWXNE    276.00    188.00    540.00     37.35    -79.52    -5
CNNMN     UrbaNet      14.00    188.00    540.00     39.99    -74.99    -5
XSLK      WxFlow        6.00    188.00    540.00     35.57    -75.47    -5
PRSPT     AWS         251.00    188.00    540.00     41.50    -72.98    -5
D3949     APRSWXNE    120.00    188.00    540.00     39.12    -77.21    -5
LGLP1     MesoWest    132.00    195.00    540.00     40.33    -76.86    -5
CLKBG     AWS         163.00    188.00    540.00     39.23    -77.26    -5
ARLNV     AWS          81.00    188.00    540.00     38.91    -77.11    -5
CRNW2     MesoWest    198.00    195.00    540.00     38.74    -81.85    -5
E8279     APRSWXNE      7.00    188.00    540.00     39.94    -74.08    -5
C9721     APRSWXNE      8.00    188.00    540.00     36.84    -76.06    -5
D8128     APRSWXNE     10.00    188.00    540.00     26.92    -82.30    -5
YRSV2     NERRS        12.00    195.00    540.00     37.41    -76.71    -5
YRSV2     HADS         12.00    195.00    540.00     37.41    -76.71    -5
AR975     APRSWXNE    101.00    188.00    540.00     42.47    -73.64    -5
CHSST     AWS          37.00    188.00    540.00     42.23    -70.81    -5
C2334     APRSWXNE    334.00    188.00    540.00     41.44    -81.44    -5
E4821     APRSWXNE    244.00    188.00    540.00     39.72    -76.55    -5
F2418     APRSWXNE     45.00    188.00    540.00     28.94    -81.27    -5
D6029     APRSWXNE     15.00    188.00    540.00     32.76    -79.84    -5
OCYP1     MesoWest    463.00    195.00    540.00     41.39    -79.70    -5
RDNTH     MISSING    9999.00    999.00    999.00     35.59    -75.47    -5
E5609     APRSWXNE    278.00    188.00    540.00     42.06    -76.14    -5
GNEF1     HADS         -1.00    195.00    540.00     28.72    -81.04    -5
HMLST     AWS         118.00    188.00    540.00     40.26    -76.70    -5
HNDON     AWS          98.00    188.00    540.00     38.94    -77.41    -5
BLGV2     MesoWest    647.00    195.00    540.00     37.20    -80.42    -5
J57AX     MesoWest    191.00    188.00    540.00     43.41    -76.00    -5
F1744     APRSWXNE      1.00    188.00    540.00     32.80    -79.78    -5
NJ68      NJWxNet       5.00    188.00    540.00     39.88    -75.14    -5
HNVRT     AWS         384.00    188.00    540.00     40.78    -80.93    -5
EAUR      NYSM        377.00    188.00    540.00     42.71    -78.63    -5
PFKR1     HADS         33.00    195.00    540.00     41.48    -71.54    -5
WNT10     UrbaNet      32.00    188.00    540.00     28.58    -81.46    -5
KINV2     MesoWest    104.00    195.00    540.00     38.81    -77.30    -5
OH099     OHDOT       365.00    195.00    540.00     40.33    -80.92    -5
AU234     APRSWXNE    369.00    188.00    540.00     40.66    -80.57    -5
MLTW2     MesoWest    207.00    195.00    540.00     38.43    -82.11    -5
CHRNC     AWS         178.00    188.00    540.00     35.07    -80.84    -5
C5612     APRSWXNE     75.00    188.00    540.00     37.43    -77.64    -5
BETP1     HADS         63.00    195.00    540.00     40.62    -75.38    -5
E5712     APRSWXNE    295.00    188.00    540.00     41.49    -75.56    -5
D7643     APRSWXNE    977.00    188.00    540.00     35.17    -82.29    -5
WTHC3     HADS        111.00    195.00    540.00     41.94    -71.90    -5
SFRN6     HADS        414.00    195.00    540.00     44.45    -74.76    -5
AOHO1     MesoWest    311.00    195.00    540.00     39.66    -81.08    -5
AFTV2     MesoWest    619.00    195.00    540.00     38.03    -78.86    -5
FRDGM     AWS          88.00    188.00    540.00     39.48    -77.50    -5
D8443     APRSWXNE    636.00    188.00    540.00     37.24    -80.42    -5
FVRV2     RAWS        244.00    195.00    540.00     38.84    -78.42    -5
D4946     APRSWXNE     14.00    188.00    540.00     27.99    -82.27    -5
KQ54      MISSING    9999.00    999.00    999.00     40.12    -74.53    -5
E2473     APRSWXNE    158.00    188.00    540.00     40.90    -76.81    -5
H0461     MISSING    9999.00    999.00    999.00     42.61    -71.47    -5
ALPLT     AWS          42.00    188.00    540.00     38.53    -76.99    -5
CAMD      NYSM        150.00    188.00    540.00     43.34    -75.74    -5
W60AX     MISSING    9999.00    999.00    999.00     35.05    -77.71    -5
C4224     APRSWXNE     17.00    188.00    540.00     28.11    -82.45    -5
DE024     DEOS         17.00    188.00    540.00     39.04    -75.73    -5
MFDC3     HADS         70.00    195.00    540.00     41.76    -72.18    -5
E1002     APRSWXNE    347.00    188.00    540.00     40.17    -82.39    -5
LOWN7     HADS        184.00    195.00    540.00     35.29    -81.10    -5
SLAV2     MesoWest    957.00    195.00    540.00     36.78    -80.39    -5
E5241     APRSWXNE    328.00    188.00    540.00     41.43    -81.38    -5
LEWS      NC-ECONe     19.00    188.00    540.00     36.13    -77.18    -5
D5881     APRSWXNE     75.00    188.00    540.00     46.47    -71.74    -5
C2057     APRSWXNE    138.00    188.00    540.00     39.09    -77.16    -5
SFTV2     MesoWest    435.00    195.00    540.00     38.37    -78.58    -5
E6603     APRSWXNE    149.00    188.00    540.00     38.25    -78.46    -5
AU878     APRSWXNE     43.00    188.00    540.00     37.47    -77.28    -5
MDFR4     AWS           1.00    188.00    540.00     25.90    -80.12    -5
TRLSS     AWS          20.00    188.00    540.00     40.24    -74.70    -5
D8069     APRSWXNE   1219.00    188.00    540.00     36.23    -81.90    -5
VTMIL     MesoWest    101.00    195.00    540.00     44.63    -73.15    -5
BSRV2     MesoWest    783.00    195.00    540.00     37.22    -81.35    -5
KILO1     HADS        243.00    195.00    540.00     40.48    -81.99    -5
XSIT      WxFlow       10.00    188.00    540.00     42.20    -70.72    -5
TORW2     HADS        183.00    195.00    540.00     38.34    -81.84    -5
FRFXS     AWS          90.00    188.00    540.00     38.73    -77.27    -5
AN870     AIRNow      259.00    195.00    540.00     34.75    -82.26    -5
E1621     APRSWXNE   9999.00    999.00    999.00     40.60    -76.24    -5
PRMP1     HADS        348.00    195.00    540.00     41.59    -75.33    -5
AU472     APRSWXNE     22.00    188.00    540.00     41.03    -73.93    -5
JHON7     MesoWest    225.00    195.00    540.00     35.36    -80.77    -5
E7829     APRSWXNE    495.00    188.00    540.00     41.38    -73.58    -5
E0694     APRSWXNE   9999.00    999.00    999.00     37.58    -81.39    -5
D8176     APRSWXNE      2.00    188.00    540.00     36.86    -76.29    -5
F2298     APRSWXNE    228.00    188.00    540.00     43.75    -71.66    -5
BRLND     AWS          15.00    188.00    540.00     40.72    -73.95    -5
TMPSJ     AWS           5.00    188.00    540.00     27.93    -82.47    -5
D2108     APRSWXNE     10.00    188.00    540.00     40.28    -74.01    -5
SAUGS     UrbaNet      17.00    188.00    540.00     42.45    -71.00    -5
SAMV2     MesoWest    392.00    195.00    540.00     36.57    -80.58    -5
D8565     APRSWXNE      5.00    188.00    540.00     39.64    -74.18    -5
D5980     APRSWXNE     10.00    188.00    540.00     19.27    -81.37    -5
GFMN7     MesoWest   1316.00    195.00    540.00     36.09    -81.85    -5
D4166     APRSWXNE     43.00    188.00    540.00     28.48    -81.33    -5
C2403     APRSWXNE   1097.00    188.00    540.00     36.12    -81.75    -5
ALSNW     AWS         226.00    188.00    540.00     40.58    -79.99    -5
D9619     APRSWXNE    117.00    188.00    540.00     48.40    -71.08    -5
SCYV2     MesoWest    622.00    195.00    540.00     37.31    -82.04    -5
TWIQ6     MesoWest    313.00    195.00    540.00     47.17    -80.43    -5
KSC22     MesoWest      2.00    195.00    540.00     28.46    -80.57    -5
HAMC3     MesoWest      7.00    195.00    540.00     41.34    -72.91    -5
DT014     MesoWest     70.00    195.00    540.00     39.78    -75.51    -5
F2223     APRSWXNE    661.00    188.00    540.00     40.57    -77.64    -5
E9628     APRSWXNE      1.00    188.00    540.00     25.76    -79.25    -5
AS609     APRSWXNE    601.00    188.00    540.00     40.12    -79.10    -5
AS591     APRSWXNE     40.00    188.00    540.00     29.85    -81.89    -5
NJ42      NJWxNet      34.00    195.00    540.00     39.58    -74.93    -5
KNY0      NonFedAW    269.00    188.00    540.00     43.00    -74.33    -5
GBON7     RAWS         27.00    195.00    540.00     35.43    -78.02    -5
WHEW2     HADS        207.00    195.00    540.00     40.04    -80.66    -5
PLMCP     AWS          12.00    188.00    540.00     40.01    -75.04    -5
NJ27      NJWxNet       6.00    195.00    540.00     39.12    -74.79    -5
MNNDR     AWS          77.00    188.00    540.00     38.76    -77.51    -5
XBUX      WxFlow       10.00    188.00    540.00     35.26    -75.52    -5
E5359     APRSWXNE     10.00    188.00    540.00     37.70    -76.31    -5
